time,"Los Angeles, CA","San Francisco, CA","Riverside, CA","San Diego, CA","Sacramento, CA","San Jose, CA","Fresno, CA","Bakersfield, CA","Oxnard, CA","Stockton, CA","Modesto, CA","Santa Rosa, CA","Visalia, CA","Vallejo, CA","Santa Maria, CA","Salinas, CA","San Luis Obispo, CA","Merced, CA","Santa Cruz, CA","Chico, CA","Redding, CA","El Centro, CA","Yuba City, CA","Madera, CA","Hanford, CA","Napa, CA","Eureka, CA","Truckee, CA","Ukiah, CA","Clearlake, CA","Red Bluff, CA","Sonora, CA","Susanville, CA","Crescent City, CA"
2018-03-31,778333.0,895731.0,389967.0,702667.0,442633.0,1199456.0,296167.0,256633.0,751450.0,378000.0,342613.0,757967.0,244800.0,462817.0,1063667.0,935813.0,713117.0,291467.0,948667.0,296250.0,299600.0,235417.0,295467.0,314333.0,248217.0,808333.0,395483.0,545667.0,559951.0,299300.0,266617.0,317967.0,236650.0,284917.0
2018-04-30,791667.0,946083.0,394933.0,715000.0,454300.0,1239086.0,297857.0,261800.0,751450.0,378333.0,346000.0,749600.0,251500.0,467783.0,1086167.0,926963.0,723267.0,291133.0,955333.0,308667.0,299900.0,237058.0,304133.0,313333.0,250483.0,842333.0,395483.0,539333.0,548284.0,305000.0,273317.0,329650.0,230667.0,290250.0
2018-05-31,799667.0,978000.0,398267.0,721633.0,458300.0,1269094.0,302823.0,266133.0,751600.0,380000.0,351333.0,751133.0,259467.0,471233.0,1089500.0,903300.0,734617.0,294300.0,955333.0,315958.0,302933.0,237892.0,310833.0,311667.0,252483.0,902333.0,393483.0,531333.0,552303.0,311667.0,279158.0,336317.0,209943.0,293000.0
2018-06-30,806300.0,989667.0,399900.0,727967.0,461333.0,1269613.0,306657.0,267467.0,749433.0,385000.0,351667.0,747800.0,265967.0,477900.0,1100833.0,897483.0,742650.0,295750.0,968333.0,319292.0,302967.0,239558.0,315000.0,311333.0,253567.0,922333.0,394333.0,526667.0,567333.0,325000.0,277492.0,342983.0,206795.0,291167.0
2018-07-31,805967.0,972667.0,399767.0,724633.0,456333.0,1263317.0,309966.0,268667.0,749467.0,390000.0,350317.0,741167.0,269133.0,478267.0,1100833.0,890333.0,739000.0,300967.0,958000.0,312792.0,302667.0,241083.0,315738.0,308000.0,254383.0,913000.0,392000.0,519833.0,583667.0,326000.0,275492.0,344333.0,213461.0,287833.0
2018-08-31,797967.0,941000.0,399133.0,714333.0,452667.0,1233296.0,308150.0,266900.0,742500.0,390000.0,348233.0,725249.0,266167.0,471667.0,1105833.0,881000.0,731000.0,301284.0,958000.0,311333.0,299333.0,244833.0,317071.0,304633.0,255050.0,886333.0,390667.0,511475.0,593000.0,329333.0,275667.0,344167.0,213185.0,287833.0
2018-09-30,791000.0,929333.0,398833.0,703300.0,449333.0,1216629.0,306483.0,263567.0,732667.0,388000.0,344898.0,717916.0,264167.0,464967.0,1105000.0,859315.0,724333.0,301500.0,951333.0,308333.0,299300.0,248133.0,317071.0,301300.0,258983.0,883000.0,391167.0,503108.0,587833.0,324667.0,275667.0,340833.0,207833.0,286333.0
2018-10-31,784667.0,924667.0,397333.0,693617.0,446000.0,1199629.0,304817.0,258867.0,724300.0,382965.0,341248.0,707583.0,260992.0,458300.0,1088000.0,848648.0,714333.0,301250.0,955667.0,311333.0,299600.0,248133.0,314333.0,301967.0,262333.0,891667.0,387133.0,499575.0,589833.0,322467.0,277000.0,340833.0,201500.0,296333.0
2018-11-30,781333.0,924333.0,396500.0,688700.0,444076.0,1194666.0,305000.0,256300.0,719633.0,381298.0,336664.0,705000.0,260958.0,457633.0,1078500.0,843315.0,704000.0,300933.0,965333.0,312667.0,302933.0,243133.0,309667.0,303750.0,261667.0,888833.0,386133.0,497933.0,583167.0,318967.0,276000.0,334333.0,198167.0,305000.0
2018-12-31,776633.0,899667.0,395166.0,685067.0,442743.0,1174667.0,305000.0,254633.0,713267.0,381631.0,336152.0,699000.0,258292.0,457333.0,1056667.0,851667.0,695000.0,299300.0,963167.0,324000.0,305550.0,239833.0,306317.0,308750.0,261667.0,885667.0,382267.0,496300.0,578333.0,317300.0,274333.0,330583.0,197333.0,318333.0
2019-01-31,769967.0,887333.0,395166.0,684750.0,445909.0,1158333.0,303331.0,253000.0,706600.0,381650.0,337486.0,694022.0,257967.0,458167.0,1033667.0,866333.0,691667.0,296333.0,977500.0,334000.0,309250.0,241333.0,303283.0,312917.0,261667.0,860500.0,381967.0,495000.0,564167.0,314466.0,270000.0,327583.0,195667.0,322708.0
2019-02-28,771633.0,897333.0,396500.0,689167.0,449833.0,1163325.0,301664.0,252833.0,709900.0,379650.0,338986.0,694022.0,257967.0,460500.0,1036500.0,883667.0,693333.0,298333.0,976500.0,342667.0,309583.0,243000.0,304950.0,314992.0,263750.0,851500.0,376300.0,496333.0,555833.0,308266.0,274667.0,329217.0,197000.0,329675.0
2019-03-31,779600.0,935000.0,398166.0,697167.0,457833.0,1199658.0,301631.0,254800.0,718233.0,381283.0,339500.0,707355.0,262762.0,464133.0,1056667.0,890167.0,694333.0,303400.0,986500.0,344333.0,307166.0,245680.0,309950.0,315242.0,265233.0,845667.0,376333.0,498000.0,559133.0,301567.0,278667.0,328300.0,197667.0,336341.0
2019-04-30,792933.0,970667.0,402833.0,715167.0,466333.0,1241621.0,306633.0,259800.0,726267.0,387957.0,343133.0,732333.0,266395.0,471292.0,1101667.0,918000.0,701167.0,310067.0,997333.0,350928.0,306499.0,245830.0,318317.0,318708.0,266867.0,870833.0,380000.0,509492.0,568133.0,306267.0,294333.0,328267.0,201667.0,343633.0
2019-05-31,809267.0,993667.0,406333.0,730983.0,476333.0,1266629.0,313300.0,263300.0,732783.0,400623.0,348283.0,761000.0,270595.0,477625.0,1111667.0,955118.0,704667.0,313367.0,1018000.0,360928.0,309833.0,251413.0,322983.0,324882.0,269783.0,892667.0,390000.0,524825.0,571133.0,315967.0,306317.0,331300.0,213333.0,348333.0
2019-06-30,822667.0,993963.0,411333.0,742983.0,482000.0,1266629.0,320000.0,266333.0,740817.0,408990.0,353917.0,776333.0,273800.0,485992.0,1130000.0,1016618.0,706323.0,316633.0,1018833.0,364578.0,316300.0,257067.0,326300.0,329965.0,271617.0,915000.0,394000.0,541158.0,565917.0,325667.0,317467.0,339300.0,223333.0,350000.0
2019-07-31,835967.0,977296.0,413300.0,743283.0,486667.0,1241296.0,324833.0,267333.0,747817.0,415333.0,357282.0,781667.0,275467.0,492667.0,1174667.0,1057452.0,711490.0,319133.0,1002333.0,361650.0,319300.0,260550.0,327133.0,333232.0,272650.0,915000.0,394750.0,543000.0,559083.0,326000.0,320133.0,342666.0,228500.0,349666.0
2019-08-31,839300.0,954296.0,411633.0,741600.0,486333.0,1216279.0,326150.0,267333.0,750500.0,416500.0,360598.0,770000.0,276267.0,496333.0,1199667.0,1101000.0,716623.0,322499.0,980667.0,353316.0,317633.0,259967.0,327467.0,334867.0,272617.0,906333.0,393083.0,541333.0,559250.0,319667.0,315467.0,342667.0,226833.0,345167.0
2019-09-30,839300.0,956333.0,406633.0,742933.0,484000.0,1209613.0,326117.0,264333.0,762500.0,415983.0,361598.0,758333.0,274933.0,495500.0,1249333.0,1084333.0,725300.0,322167.0,977333.0,350000.0,317633.0,256633.0,325833.0,334575.0,270300.0,912150.0,388900.0,541633.0,559167.0,311667.0,314317.0,336000.0,224667.0,338667.0
2019-10-31,840300.0,967667.0,401667.0,742633.0,479300.0,1209317.0,322950.0,261633.0,775750.0,409650.0,361567.0,758333.0,272283.0,492167.0,1266000.0,1051000.0,723633.0,318000.0,969000.0,349666.0,316615.0,255917.0,325000.0,332975.0,266300.0,930317.0,383150.0,545800.0,561833.0,304667.0,314283.0,332334.0,225500.0,332000.0
2019-11-30,843933.0,978833.0,400000.0,745667.0,476300.0,1208667.0,319967.0,259917.0,791250.0,409483.0,361583.0,771333.0,267317.0,490265.0,1299000.0,1006333.0,728333.0,314000.0,961667.0,346300.0,318182.0,257550.0,326500.0,330658.0,264016.0,952317.0,378150.0,542367.0,573667.0,297967.0,322300.0,327667.0,220833.0,329800.0
2019-12-31,847267.0,955500.0,400000.0,745967.0,474967.0,1198648.0,318333.0,259900.0,796242.0,410300.0,362433.0,782000.0,263983.0,487765.0,1324333.0,1029500.0,735167.0,312600.0,966000.0,342967.0,317882.0,260880.0,326483.0,328267.0,264333.0,961833.0,374417.0,535700.0,585667.0,292633.0,322133.0,326333.0,217500.0,332633.0
2020-01-31,849596.0,942167.0,401666.0,745967.0,475000.0,1198981.0,316667.0,259933.0,797992.0,410200.0,362466.0,773667.0,263983.0,481432.0,1323000.0,1024481.0,736000.0,310930.0,965667.0,341633.0,319233.0,262962.0,324817.0,327967.0,263966.0,977833.0,372250.0,529867.0,593000.0,285967.0,315500.0,324950.0,213333.0,342633.0
2020-02-29,856296.0,954000.0,406666.0,745800.0,477059.0,1229648.0,318000.0,261650.0,797992.0,406867.0,364050.0,769481.0,263950.0,478333.0,1334167.0,1024481.0,736333.0,310413.0,969667.0,344510.0,319000.0,264662.0,326650.0,328650.0,263100.0,972500.0,371833.0,535383.0,593000.0,285817.0,302167.0,323267.0,210667.0,347283.0
2020-03-31,866596.0,978983.0,413333.0,745800.0,484726.0,1263000.0,319667.0,264967.0,799500.0,406567.0,367025.0,775148.0,265283.0,480667.0,1325167.0,991296.0,737167.0,310480.0,969833.0,354010.0,322600.0,264632.0,329817.0,329667.0,262450.0,981000.0,369750.0,541750.0,593000.0,287817.0,296667.0,323266.0,206983.0,350517.0
2020-04-30,873300.0,999279.0,418300.0,745800.0,492726.0,1296000.0,324333.0,268300.0,801133.0,411667.0,371842.0,790148.0,266300.0,490167.0,1326833.0,1023481.0,742983.0,317280.0,981650.0,368677.0,329567.0,265559.0,338450.0,329817.0,265633.0,981833.0,368583.0,548083.0,595000.0,298150.0,296333.0,324650.0,208900.0,347517.0
2020-05-31,878533.0,1031613.0,421633.0,749633.0,498996.0,1307500.0,327833.0,271633.0,801433.0,418083.0,371908.0,786333.0,271333.0,496500.0,1319167.0,1015898.0,744650.0,325463.0,994250.0,384167.0,334900.0,264559.0,348450.0,329817.0,271900.0,993000.0,367000.0,555083.0,595000.0,308333.0,299650.0,327666.0,212900.0,349567.0
2020-06-30,885233.0,1067629.0,427633.0,766000.0,500663.0,1324433.0,332000.0,273650.0,803267.0,422983.0,374750.0,778333.0,274966.0,502500.0,1350500.0,1012583.0,747983.0,333130.0,1027750.0,397817.0,341600.0,262909.0,355300.0,333150.0,274567.0,994166.0,373000.0,568417.0,591667.0,318333.0,306283.0,329317.0,225417.0,354667.0
2020-07-31,905200.0,1100667.0,437633.0,786300.0,507663.0,1341100.0,337283.0,278650.0,813275.0,432983.0,377833.0,775833.0,283283.0,508000.0,1415500.0,986417.0,761333.0,335123.0,1065933.0,401150.0,346600.0,263650.0,356650.0,338583.0,276417.0,1050166.0,381000.0,585083.0,591667.0,322483.0,320783.0,335983.0,232567.0,359250.0
2020-08-31,909963.0,1101667.0,445967.0,799300.0,512667.0,1349248.0,343783.0,283633.0,829642.0,441233.0,386200.0,787167.0,289950.0,511633.0,1510667.0,1026333.0,772667.0,332993.0,1102483.0,402483.0,358233.0,267983.0,353283.0,348167.0,274000.0,1122666.0,389667.0,604333.0,601667.0,324150.0,329133.0,345983.0,233733.0,367583.0
2020-09-30,909630.0,1099000.0,453267.0,794633.0,520000.0,1349315.0,344617.0,291317.0,836292.0,444665.0,392567.0,795000.0,299967.0,508300.0,1595000.0,1063333.0,786000.0,330293.0,1141333.0,392667.0,364900.0,271000.0,356617.0,358133.0,282000.0,1189333.0,394500.0,617417.0,606667.0,324150.0,335833.0,354150.0,230150.0,371250.0
2020-10-31,897997.0,1099000.0,456633.0,783000.0,519833.0,1349315.0,343000.0,295313.0,826150.0,446332.0,397967.0,812467.0,308283.0,506633.0,1596333.0,1109667.0,779000.0,328170.0,1141667.0,389333.0,364767.0,264667.0,362967.0,363717.0,288667.0,1216667.0,406500.0,626083.0,616667.0,324667.0,338300.0,357483.0,228583.0,373000.0
