n_estimators,max_depth,min_samples_split,min_samples_leaf,Mean R2 Score (Test),Mean R2 Score (Train),R2 Score Std Dev
50,,2,1,0.8404389637410512,0.9761608921370232,0.019520521327034995
100,,2,1,0.8429217060608742,0.9774158738837677,0.018882837582256756
200,,2,1,0.8446422550671908,0.9774136445194523,0.017688648644444145
50,,5,1,0.8391478188554352,0.9666987994674034,0.020260702253601076
100,,5,1,0.842622137952494,0.9684000180405006,0.018766350535410464
200,,5,1,0.8439139054375454,0.9682970113829176,0.01759586534655495
50,,10,1,0.8377788529376332,0.9498182829763073,0.02026118732834546
100,,10,1,0.841343625878252,0.9507200692772172,0.01860590085582081
200,,10,1,0.8440362267243381,0.9506539689724186,0.017329520664314337
50,,2,2,0.8398833088911234,0.9612694266897303,0.01592957294812628
100,,2,2,0.8431001426630423,0.9624966132598595,0.015299102534185116
200,,2,2,0.8445606827900444,0.9624058107763576,0.015058552622190297
50,,5,2,0.839732151408929,0.9576772655347994,0.015356902446883355
100,,5,2,0.8429782055252075,0.9590220708172873,0.015354626090435503
200,,5,2,0.844613314362689,0.9590228847572436,0.014900635263735107
50,,10,2,0.8393209399008649,0.9411057713030022,0.016698559484520887
100,,10,2,0.8422615578762859,0.9420182254463833,0.015122303195490244
200,,10,2,0.843703440895507,0.941995178627325,0.014529934797258712
50,,2,4,0.839418406409021,0.9295451478251783,0.014292529189274223
100,,2,4,0.8409615831209242,0.9309096988415234,0.013190242613496496
200,,2,4,0.8422725040627953,0.9312461657345507,0.011824537088689796
50,,5,4,0.839418406409021,0.9295451478251783,0.014292529189274223
100,,5,4,0.8409615831209242,0.9309096988415234,0.013190242613496496
200,,5,4,0.8422725040627953,0.9312461657345507,0.011824537088689796
50,,10,4,0.8387911659319514,0.9249805477549167,0.013871657610452623
100,,10,4,0.8402916750990332,0.9259860584978318,0.01224258027121788
200,,10,4,0.8413208875399464,0.9261581034794549,0.011585492376635467
50,10,2,1,0.83950352716055,0.962905763094739,0.021873794511312338
100,10,2,1,0.8426027807848934,0.9641150922044428,0.018865293157781033
200,10,2,1,0.8447294028936366,0.9641335580353788,0.016808295564773583
50,10,5,1,0.8394774192788109,0.9556671735470884,0.019543547984557857
100,10,5,1,0.8418546548530875,0.9571073107283409,0.018895119714689226
200,10,5,1,0.8434948626950453,0.9572023749249766,0.017259811043500464
50,10,10,1,0.8381283430871097,0.9421926019237225,0.019477600174049807
100,10,10,1,0.8420338559620731,0.9433149331867696,0.017668818888969953
200,10,10,1,0.8434909571029269,0.9430783031853092,0.016366683290445078
50,10,2,2,0.8401667384282407,0.9519413638693726,0.0157805938404235
100,10,2,2,0.8431815285379788,0.9531034537192102,0.015674554101267446
200,10,2,2,0.8444010845676049,0.9530559331084426,0.014761117071108337
50,10,5,2,0.8382549958904653,0.9488029785323963,0.017275865950779297
100,10,5,2,0.8416468580996678,0.9503202224987892,0.016137448429148493
200,10,5,2,0.8437083957899273,0.950349348555358,0.015132031611081204
50,10,10,2,0.8386988053420361,0.935459843226278,0.01677211932968645
100,10,10,2,0.8414800631037876,0.9364110423889253,0.014928433700108419
200,10,10,2,0.8425625114308787,0.9363640839183125,0.01446055717026322
50,10,2,4,0.8397372474884377,0.9255477986652592,0.014072590122056063
100,10,2,4,0.8408815507161703,0.9267923390875418,0.012907222520082438
200,10,2,4,0.8419952163087169,0.9272087614840125,0.011701200561709355
50,10,5,4,0.8397372474884377,0.9255477986652592,0.014072590122056063
100,10,5,4,0.8408815507161703,0.9267923390875418,0.012907222520082438
200,10,5,4,0.8419952163087169,0.9272087614840125,0.011701200561709355
50,10,10,4,0.8387623008394893,0.9214719727942611,0.013773161661833563
100,10,10,4,0.8401892212780857,0.9224904051965899,0.012099162131190071
200,10,10,4,0.8411566851193205,0.922752946390886,0.011640238010853614
50,20,2,1,0.8390931330913537,0.9762342763976578,0.02058666483824783
100,20,2,1,0.8420516185567202,0.9775507238662078,0.019410717635949964
200,20,2,1,0.8447039869883861,0.9774033904321877,0.017631037573790972
50,20,5,1,0.8409455950172862,0.9669904776759513,0.019295357277774355
100,20,5,1,0.8423353833987622,0.9684664609343185,0.01943513094159809
200,20,5,1,0.8440614456817523,0.9683682852762866,0.0177789196163536
50,20,10,1,0.838091355201323,0.9497166646856812,0.0207606503248061
100,20,10,1,0.841507357938259,0.9507748329481945,0.018571836324036358
200,20,10,1,0.8441138243231402,0.9506020714838336,0.017224049356991306
50,20,2,2,0.8398562318393982,0.9612759939217996,0.016072723447052493
100,20,2,2,0.843209035951136,0.9624835311973249,0.015419946925398356
200,20,2,2,0.8446465462595233,0.9624065881348417,0.014956546247585282
50,20,5,2,0.8399979860691936,0.957694706179831,0.015274275638216107
100,20,5,2,0.8430984900111635,0.9590812717013443,0.015254663810534466
200,20,5,2,0.8447024961336824,0.9590294194755816,0.014862331428163855
50,20,10,2,0.8392678448370589,0.9411105488198778,0.01669992686001584
100,20,10,2,0.8422299707906525,0.9420203517059518,0.015122242946776488
200,20,10,2,0.843679932876173,0.9420122188868949,0.014528762996039073
50,20,2,4,0.8394178815520129,0.9295441314124188,0.014292700214592422
100,20,2,4,0.8409612748446209,0.9309091444929317,0.013190349344808984
200,20,2,4,0.8422775319726762,0.931247920828505,0.011823103348853059
50,20,5,4,0.8394178815520129,0.9295441314124188,0.014292700214592422
100,20,5,4,0.8409612748446209,0.9309091444929317,0.013190349344808984
200,20,5,4,0.8422775319726762,0.931247920828505,0.011823103348853059
50,20,10,4,0.8387911659319514,0.9249805477549167,0.013871657610452623
100,20,10,4,0.8402916750990332,0.9259860584978318,0.01224258027121788
200,20,10,4,0.8413202469411584,0.9261595817932925,0.011585666417911259
