n_estimators,max_depth,min_samples_split,min_samples_leaf,Mean R2 Score (Test),Mean R2 Score (Train),R2 Score Std Dev
50,10,5,1,0.8394774192788109,0.9556671735470884,0.019543547984557857
50,,2,1,0.8404389637410512,0.9761608921370232,0.019520521327034995
100,,5,4,0.8409615831209242,0.9309096988415234,0.013190242613496496
100,10,5,1,0.8418546548530875,0.9571073107283409,0.018895119714689226
50,,2,4,0.839418406409021,0.9295451478251783,0.014292529189274223
100,10,2,1,0.8426027807848934,0.9641150922044428,0.018865293157781033
100,,2,2,0.8431001426630423,0.9624966132598595,0.015299102534185116
100,20,10,2,0.8422299707906525,0.9420203517059518,0.015122242946776488
100,,5,1,0.842622137952494,0.9684000180405006,0.018766350535410464
50,,5,2,0.839732151408929,0.9576772655347994,0.015356902446883355
