RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024
394327,139,"Anchorage, AK",msa,AK,298332,308298,316383,321350,319717,316633,315000,315000,313333,311333,309158,312292,320375,327550,332900,331817,333450,331600,331267,329600,330300,330600,330467,331433,331133,332967,334000,337167,338500,342133,345933,347933,343267,336633,334633,339667,352500,364500,371167,370000,365000,361667,361500,361167,361167,356333,353333,360967,377300,396967,402666,403000,399666,402982,402982,403282,399633,398600,395300,392267,392967,402933,412383,414383,410900,408150,409817,410000,406500,402833,399333,405833,414483,430152,438819,443502,441333,441000,438000,434667,429817,428150
394580,407,"Fairbanks, AK",msa,AK,221183,229100,236467,245533,247200,249833,248567,245233,241433,239283,237617,236383,233717,233650,235350,240167,245233,248267,245633,242300,238717,238717,238717,238700,242667,246000,249583,251250,251283,253267,251600,246600,235783,229117,227450,236117,242783,,261600,267967,264633,269633,266633,263317,254967,253033,255950,264267,284533,308267,326633,329967,326833,326833,325983,325800,322433,323283,321600,321617,327417,335750,340767,334933,326300,316300,313500,312167,315467,316600,318167,323167,324200,330933,337600,345083,343450,331783,323267,321600,328267,331600
394730,802,"Juneau, AK",msa,AK,386817,380983,378567,379317,388817,395633,400967,410000,410000,412667,417300,427300,431300,422467,419917,417233,420067,419315,420165,418165,414800,416600,420250,425617,425817,425583,436917,439217,439133,429800,427591,426424,424574,429283,435417,448083,447933,451267,435367,434383,431050,455433,478083,486450,481450,466950,478283,474150,470833,496167,533667,566483,538117,514450,494300,492333,485083,480417,477250,478150,482817,496317,517967,532133,537100,529550,535683,529800,520683,500050,485300,488500,510833,548167,555000,553333,545833,560833,560833,563333,544167,529167
394743,936,"Ketchikan, AK",msa,AK,324500,327833,333000,344500,358167,368167,369667,366000,366000,359483,352483,345483,345667,349483,352150,358567,361083,356483,346233,338067,331667,332000,337833,349500,352667,349167,346133,342967,346133,349167,357333,364000,366000,367667,367667,374333,392667,412667,407333,391667,381667,396167,412167,420833,435667,437333,445667,449833,464833,459500,422500,394000,390000,428833,447667,456167,447500,452833,452000,440667,438500,448333,462667,459167,444000,423833,415500,411833,423833,436833,448833,444000,441667,441000,459667,455167,462167,453833,457333,453000,452667,454500
394388,51,"Birmingham, AL",msa,AL,209267,218967,225633,229600,229900,229267,227600,223967,220967,219300,219633,224933,231633,241300,246300,249600,249900,249100,248800,248800,249600,249900,249688,249721,249754,250000,253300,258267,261167,259917,254917,250317,243267,238300,239167,244133,251933,257600,263867,264367,262833,259600,259633,261483,258467,255133,249950,249967,251600,258300,266633,274983,276650,276980,276497,274797,271932,267398,264432,263633,265300,271300,276267,281300,283300,285633,285633,285633,284967,283267,279900,276600,276633,281709,290009,296643,299833,299533,299467,296900,293867,287157
394698,114,"Huntsville, AL",msa,AL,231600,236822,242122,245822,247133,248467,249800,249967,250000,251650,252908,255408,255223,257264,258108,260593,262293,264989,267078,268411,269004,269600,269900,271600,273522,276158,279108,280519,280917,281617,281883,280550,,279177,280811,,,298250,298280,295330,298963,298967,304967,310845,318745,321645,324046,329480,334880,343267,346600,353267,354267,357600,357633,360000,356667,353333,349967,348300,348267,348300,353300,359967,364933,365956,362323,359023,354667,351633,349633,349633,353000,358333,366633,371633,371600,368300,366300,364633,361300,354967
394870,127,"Mobile, AL",msa,AL,155745,160645,163167,164925,164992,163358,161600,159933,161381,161381,161048,159250,160950,162983,165450,166550,171167,175133,178700,177817,176461,174428,172328,172567,174600,177933,182633,187933,193004,196638,198328,199693,199393,197939,197869,197869,199000,199300,199300,199632,199704,198446,196748,195008,193341,193358,192691,194950,196707,204073,211573,216500,218167,219967,223267,223267,223133,223167,223167,221410,221410,227743,233000,236333,236633,238200,239833,239367,237800,237586,236386,236353,235100,238467,243467,247967,247842,247542,247542,249300,249633,249966
394875,143,"Montgomery, AL",msa,AL,172136,176283,180600,184283,185277,185826,185176,185482,183722,182377,180710,181922,186100,193133,198167,199650,198483,195150,194167,193000,192333,190633,189267,191167,194500,200867,207617,210950,211250,206567,203233,197233,192267,185217,181217,181033,187117,196150,204633,205633,201717,198416,196750,193333,186633,179967,174633,173000,176233,183400,190883,198067,206200,208717,209967,204967,202967,199300,201000,203000,209650,216317,221317,221633,221633,221633,223300,221600,222267,218967,218967,218300,224967,235000,244966,249933,249600,246267,242300,235967,232600,228267
395171,188,"Tuscaloosa, AL",msa,AL,191567,194900,198233,199900,204767,205297,208630,205359,207872,206405,205042,205333,206799,214233,219233,222600,222367,224033,227333,229600,227966,224633,219933,221600,228267,236035,237668,237702,239267,240933,240900,238233,238267,238267,239933,239933,242967,246300,249199,249533,249533,248300,248267,247450,245750,240783,234717,231400,237483,,,273250,273250,271617,272117,272150,268483,264667,257967,257100,262067,269067,276933,276967,276633,269933,264233,262900,266067,271400,272765,272932,274948,278250,282517,287500,292500,293233,290233,286867,283233,279567
394519,203,"Daphne, AL",msa,AL,298333,301000,302667,308000,312333,316483,314817,311637,309487,311120,310909,309243,309243,313300,317967,319333,320967,322183,325817,328517,332633,335167,333885,335218,336035,339609,339593,339068,338942,337625,339650,337150,335317,332822,332122,338922,343017,,364750,374833,376649,378283,381449,387633,392500,394500,396133,397900,399567,399933,413300,429967,441633,444667,441000,439000,431000,426333,423333,420000,416667,420000,428300,434967,434933,434950,444950,446650,448000,439133,435800,434433,434933,443267,449633,456333,459083,458750,458417,455500,452833,449800
